Ontario,"$369,900 ",20-Nov-18,Cambridge,K3H 4K4,1972,"2,500 CAD (2018)",Full ,0.095 Ac,3,1,"1,101"
Ontario,"$570,900 ",13-Aug-18,Toronto,M6M1A2,,,,,2,2,713
Ontario,"$298,000 ",06-Mar-18,Waterloo,N2L 3V9,2018,,,,,,
Ontario,"$379,900 ",09-Oct-18,St. Catharines,L2M 1S3,,"3,396 CAD (2018)",Full Full/Fully Finished,0.172 Ac,4,1,"1,020"
Ontario,"$430,000 ",18-Jul-18,Richmond Hill,L4C0X5,,,,,1,1,
Ontario,"$589,900 ",07-Aug-18,Fort Erie,L2A 3C5,1988,,Full Full/Partially Finished,0.221 Ac,4,3,"2,108"
Ontario,"$314,900 ",22-Nov-18,Rockland,K4K 0C4,2008,"2,985 CAD (2018)",,,2,1,"1,239"
Ontario,"$1,198,000 ",23-Sep-18,Toronto,M1C3E2,,,Full ,,5,4,
Ontario,"$708,000 ",01-Oct-18,Markham,L6E 1J3,,,,,3,3,
Ontario,"$829,900 ",23-Aug-18,Welland,L2V 0B6,2018,,Full Full/Unfinished,0.133 Ac,4,2,"2,515"
Ontario,"$1,499,999 ",07-Sep-18,Lambton Shores,N0M 1T0,,"8,001 CAD (2018)",Full ,0.52 Ac,6,5,
Ontario,"$402,415 ",06-Sep-18,Waterloo,N2V 0A8,2018,,,,2,2,"1,186"
Ontario,"$269,900 ",08-Sep-18,Ottawa,K2C 3L4,,"2,589 CAD (2018)",,,3,2,
Ontario,"$499,900 ",07-Nov-18,St. Catharines,L2R 4W5,,"4,628 CAD (2018)",Part ,0.132 Ac,6,2,"2,065"
Ontario,"$554,900 ",06-Sep-18,St. Catharines,L2S 3Y3,1999,,Full ,0.113 Ac,4,3,"1,640"
Ontario,"$575,900 ",15-Nov-18,Toronto,M4M 1C3,,,,,1,,640
Ontario,"$879,000 ",09-Aug-18,Toronto,M9B 6M1,,"3,241.08 CAD (2018)",,,2,2,"1,467"
Ontario,"$389,900 ",15-Feb-18,Ottawa,K2S 0J2,2008,,Full ,0.077 Ac,4,4,
Ontario,"$539,900 ",10-Oct-18,Hamilton,L9C 4K9,1950,"3,766 CAD (2017)",Full ,0.138 Ac,3,2,"1,606"
Ontario,"$398,000 ",24-Sep-18,Ottawa,K1S 5A4,2012,"3,557 CAD (2018)",,,2,2,
Ontario,"$459,900 ",23-Oct-18,Oshawa,L1H8X5,,,Full ,,3,3,
Ontario,"$425,000 ",17-Oct-18,Toronto,M1V1M9,,"1,394.42 CAD (2017)",,,2,2,
Ontario,"$497,000 ",26-Mar-18,Toronto,M8Z 1N8,,,,,2,2,765
Ontario,"$1,199,000 ",05-Feb-18,Mississauga,L5W1H5,,"5,123.68 CAD (2017)",Full Finished,0.201 Ac,3,3,
Ontario,"$655,000 ",08-May-18,Innisfil,L9S 2A3,,"3,898 CAD (2017)",Full ,0.115 Ac,4,3,"2,200"
Ontario,"$429,000 ",30-Nov-18,North Frontenac,K0H 2C0,,"1,700 CAD (2018)",Full ,42 Ac,4,2,
Ontario,"$895,000 ",03-Jun-18,Tecumseh,,,"6,500 CAD (2017)",,1 Ac,2,2,"1,500"
Ontario,"$459,900 ",23-Oct-18,Cobourg,K9A5P7,,,Full ,,4,2,
Ontario,"$599,900 ",09-Oct-18,Hamilton,L9C 6G1,2006,,Full ,0.089 Ac,3,2,"2,179"
